ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;CONSUMO
2000;SET;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;JUN;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;JUL;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;DEZ;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;1412
2000;OUT;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;NOV;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;FEV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;261
2000;MAR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;279
2000;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;97804,3456
2000;JAN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;279
2000;JUN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;270
2000;JUL;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;279
2000;ABR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;270
2000;MAI;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;279
2000;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;93577,4637
2000;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;92602,6547
2000;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;92575,9999
2000;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;95532
2000;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;87270,7603
2000;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;89989,6813
2000;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;88166,0917
2000;SET;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;92352,7675
2000;AGO;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;279
2000;JUL;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;AGO;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;MAI;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;JUN;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;NOV;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;104
2000;DEZ;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;38
2000;SET;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;120
2000;OUT;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;256
2000;NOV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;270
2000;DEZ;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;279
2000;SET;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;270
2000;OUT;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;279
2000;MAR;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;ABR;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;FEV;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;MAI;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;34,6994
2000;JUN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;50,3714
2000;MAR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;17,0543
2000;ABR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;16,0427
2000;SET;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;0
2000;OUT;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;0
2000;JUL;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;99,7228
2000;AGO;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;6,8131
2000;SET;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1052,114
2000;OUT;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;986,1277
2000;JUL;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1087,9729
2000;AGO;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1108,2148
2000;JAN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2,2738
2000;FEV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;9,5142
2000;NOV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;972,4472
2000;DEZ;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1101,8481
2000;NOV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;0
2000;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;94,3028
2000;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;119,2564
2000;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;61,211
2000;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;65,7447
2000;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;89946
2000;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;102623
2000;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;133,8487
2000;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;94288
2000;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;119,402
2000;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;127,3332
2000;DEZ;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;132,7628
2000;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;185,1085
2000;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;157,9639
2000;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;142,2661
2000;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;101,3935
2000;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;15952,477
2000;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;14580,4399
2000;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;15795,941
2000;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;16844,3421
2000;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;16432,9433
2000;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;93,0002
2000;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;16950,2421
2000;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;16813,417
