ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;DISPONÍVEL
2000;AGO;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;SET;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;JUN;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;JUL;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;DEZ;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;8263
2000;OUT;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;NOV;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;FEV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;37385
2000;MAR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;24253
2000;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;213827,5544
2000;JAN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;33562
2000;JUN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;23470
2000;JUL;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;25598
2000;ABR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;23551
2000;MAI;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;29327
2000;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;204601,4363
2000;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;177726,8453
2000;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;222942,9993
2000;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;227627,9
2000;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;202983,4397
2000;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;210743,1187
2000;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;189140,0087
2000;SET;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;194957,7325
2000;AGO;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;24343
2000;JUL;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;AGO;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;MAI;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;JUN;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;NOV;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;DEZ;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;SET;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;OUT;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;NOV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;26621
2000;DEZ;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;25524
2000;SET;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;22874
2000;OUT;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;MAR;24296
2000;MAR;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;ABR;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;FEV;REGIÃO SUL;PARANÁ;GÁS NATURAL;MAR;0
2000;MAI;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;-34,7287
2000;JUN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;-50,3369
2000;MAR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;-17,047
2000;ABR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;-16,0747
2000;SET;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;0
2000;OUT;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;0
2000;JUL;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;-99,7587
2000;AGO;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;-6,8471
2000;SET;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;52776,323
2000;OUT;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;42311,4283
2000;JUL;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;51289,6511
2000;AGO;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;57256,0282
2000;JAN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;-2,2737
2000;FEV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;-9,5182
2000;NOV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;40096,7778
2000;DEZ;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;44330,9389
2000;NOV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;0
2000;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;0,3028
2000;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;-25,2564
2000;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;11,789
2000;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;7,2553
2000;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;199910,9995
2000;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;244915,2002
2000;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;-7,8487
2000;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;223692,9999
2000;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;26,598
2000;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;2,6668
2000;DEZ;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;23,2372
2000;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;39,8915
2000;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;-25,9639
2000;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;-4,2661
2000;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;-1,3935
2000;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;13528,6351
2000;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;14259,6367
2000;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;10085,9342
2000;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;11891,5295
2000;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;7134,9342
2000;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;35218,0178
2000;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;10858,931
2000;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;7222,0016
2000;DEZ;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-3172,3552
2000;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;3116,238
2000;OUT;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-3115,2224
2000;NOV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-3044,8865
2000;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;6484,6518
2000;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;8987,1739
2000;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;2062,8998
2000;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;4193,0759
2000;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;31095,1679
2000;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-6217,9564
2000;FEV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-5572,0796
2000;NOV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;31568,157
2000;DEZ;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;33128,617
2000;MAI;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-4946,4857
2000;JUN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-5844,256
2000;MAR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-6647,2508
2000;ABR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-5947,9205
2000;MAI;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;32818,6871
2000;JUN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;31173,9007
2000;MAR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;34144,789
2000;ABR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;31869,1939
2000;SET;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;32947,2239
2000;OUT;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;30351,3439
2000;JUL;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;31835,165
2000;AGO;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;35645,22
2000;NOV;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;12571
2000;DEZ;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;14969
2000;SET;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;10727
2000;OUT;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;15453
2000;MAR;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;JAN;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;FEV;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;MAR;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;14147
2000;ABR;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;11194,9997
2000;JAN;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;11763
2000;FEV;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;9600
2000;JUL;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;13442,0003
2000;AGO;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;12244,44
2000;MAI;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;13965
2000;JUN;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;13833,0003
2000;MAI;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-3003,2302
2000;MAI;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-3062,9478
2000;FEV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-3526,9363
2000;MAR;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-2907,9592
2000;AGO;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-3134,2595
2000;SET;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-2671,1708
2000;JUN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-2923,7916
2000;JUL;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-3537,1671
2000;AGO;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;SET;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;JUN;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;JUL;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;JAN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;-4114,0303
2000;OUT;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;NOV;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;TERRA;0
2000;FEV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;MAR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;JAN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;JUN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;JUL;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;MAI;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;SET;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;AGO;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;JUL;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;AGO;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;MAI;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;JUN;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;NOV;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;SET;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;OUT;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;NOV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;SET;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;OUT;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
2000;MAR;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;ABR;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;JAN;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;FEV;REGIÃO SUL;PARANÁ;GÁS NATURAL;TERRA;0
2000;MAI;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;134769,5731
2000;JUN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;130189,6285
2000;MAR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;129749,2411
2000;ABR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;125226,8247
2000;SET;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;131078,0382
2000;OUT;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;123213,0693
2000;JUL;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;135156,476
2000;AGO;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;138923,2921
2000;SET;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-5097,7953
2000;OUT;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-5231,3589
2000;JUL;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-5712,4519
2000;AGO;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-5372,4981
2000;JAN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;136124,0373
2000;FEV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;102393,5614
2000;NOV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-5363,6339
2000;DEZ;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;-6255,6191
2000;NOV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;127329,2924
2000;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;24335,5189
2000;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;28491,3521
2000;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;23042,2723
2000;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;23298,7562
2000;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;25914,987
2000;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;TERRA;0
2000;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;18972,9106
2000;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;18760,3287
2000;DEZ;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;132189,2139
